kq_s_inv,t_s,mass_H,mass_Q,acid_loss_integral,neutralization_integral,H_budget,Q_budget,H_budget_relative_error,Q_budget_relative_error
1,0.0000,144.149231,1638.400269,0.000000e+00,0.000000e+00,144.149231,1638.400269,0.000e+00,0.000e+00
1,2.9688,107.907646,1604.023193,1.864559e+00,3.437703e+01,144.149236,1638.400224,3.461e-08,2.705e-08
1,5.9375,83.915764,1581.453125,3.286656e+00,5.694681e+01,144.149235,1638.399940,2.578e-08,2.007e-07
1,9.0625,66.162422,1564.871582,4.458368e+00,7.352844e+01,144.149233,1638.400025,1.360e-08,1.488e-07
1,12.0312,53.772896,1553.372925,5.349043e+00,8.502729e+01,144.149231,1638.400217,1.085e-09,3.170e-08
1,15.0000,44.311066,1544.639648,6.077709e+00,9.376047e+01,144.149239,1638.400114,5.865e-08,9.462e-08
1,17.9688,36.922470,1537.854614,6.681336e+00,1.005454e+02,144.149235,1638.400044,2.987e-08,1.371e-07
1,20.9375,31.051477,1532.489136,7.186515e+00,1.059112e+02,144.149238,1638.400381,5.142e-08,6.892e-08
1,24.0625,26.096966,1527.981567,7.633508e+00,1.104188e+02,144.149235,1638.400328,2.490e-08,3.649e-08
1,27.0312,22.278233,1524.522461,7.993102e+00,1.138779e+02,144.149236,1638.400362,3.767e-08,5.724e-08
1,30.0000,19.130529,1521.682617,8.300931e+00,1.167178e+02,144.149236,1638.400393,3.626e-08,7.595e-08
1,32.9688,16.512953,1519.330322,8.565913e+00,1.190704e+02,144.149236,1638.400692,3.211e-08,2.584e-07
1,35.9375,14.319128,1517.365723,8.795134e+00,1.210350e+02,144.149236,1638.400697,3.649e-08,2.612e-07
1,39.0625,12.378284,1515.634033,9.004025e+00,1.227669e+02,144.149236,1638.400960,3.790e-08,4.219e-07
1,42.0312,10.818810,1514.247070,9.176493e+00,1.241539e+02,144.149236,1638.401004,3.745e-08,4.490e-07
1,45.0000,9.486261,1513.065674,9.327461e+00,1.253355e+02,144.149236,1638.401188,3.808e-08,5.610e-07
1,47.9688,8.341702,1512.053833,9.460014e+00,1.263475e+02,144.149236,1638.401353,3.500e-08,6.621e-07
1,50.9375,7.353962,1511.182861,9.576715e+00,1.272186e+02,144.149236,1638.401421,3.613e-08,7.031e-07
1,54.0625,6.456074,1510.393433,9.684783e+00,1.280084e+02,144.149236,1638.401811,3.316e-08,9.416e-07
1,57.0312,5.716574,1509.744385,9.775291e+00,1.286574e+02,144.149236,1638.401756,3.662e-08,9.081e-07
1,60.0000,5.070741,1509.178955,9.855499e+00,1.292230e+02,144.149236,1638.401952,3.596e-08,1.027e-06
5,0.0000,144.149231,1638.400269,0.000000e+00,0.000000e+00,144.149231,1638.400269,0.000e+00,0.000e+00
5,2.9688,47.127762,1542.631348,1.252675e+00,9.576880e+01,144.149237,1638.400148,4.497e-08,7.333e-08
5,5.9375,23.576923,1519.583740,1.755908e+00,1.188164e+02,144.149237,1638.400145,3.937e-08,7.520e-08
5,9.0625,14.117453,1510.412231,2.043817e+00,1.279880e+02,144.149237,1638.400199,4.200e-08,4.261e-08
5,12.0312,9.820888,1506.291748,2.219880e+00,1.321085e+02,144.149238,1638.400219,4.896e-08,3.050e-08
5,15.0000,7.368225,1503.966309,2.346919e+00,1.344341e+02,144.149237,1638.400402,4.073e-08,8.141e-08
5,17.9688,5.803394,1502.499146,2.444513e+00,1.359013e+02,144.149237,1638.400475,3.973e-08,1.260e-07
5,20.9375,4.720393,1501.494385,2.522597e+00,1.369062e+02,144.149237,1638.400631,4.050e-08,2.212e-07
5,24.0625,3.888659,1500.729858,2.589860e+00,1.376707e+02,144.149236,1638.400576,3.801e-08,1.878e-07
5,27.0312,3.285570,1500.179810,2.643161e+00,1.382205e+02,144.149237,1638.400315,4.009e-08,2.860e-08
5,30.0000,2.806177,1499.745605,2.688433e+00,1.386546e+02,144.149237,1638.400232,4.084e-08,2.205e-08
5,32.9688,2.415576,1499.393677,2.727247e+00,1.390064e+02,144.149237,1638.400090,3.849e-08,1.089e-07
5,35.9375,2.091265,1499.102905,2.760752e+00,1.392972e+02,144.149236,1638.400125,3.792e-08,8.746e-08
5,39.0625,1.804890,1498.846924,2.791238e+00,1.395531e+02,144.149237,1638.400033,3.912e-08,1.440e-07
5,42.0312,1.574076,1498.641113,2.816362e+00,1.397588e+02,144.149237,1638.399912,3.959e-08,2.174e-07
5,45.0000,1.375694,1498.464600,2.838296e+00,1.399352e+02,144.149236,1638.399846,3.795e-08,2.577e-07
5,47.9688,1.204075,1498.312012,2.857480e+00,1.400877e+02,144.149237,1638.399694,3.852e-08,3.509e-07
5,50.9375,1.054867,1498.179688,2.874278e+00,1.402201e+02,144.149237,1638.399779,3.901e-08,2.988e-07
5,54.0625,0.918269,1498.058350,2.889722e+00,1.403412e+02,144.149237,1638.399595,3.914e-08,4.109e-07
5,57.0312,0.805095,1497.958008,2.902538e+00,1.404416e+02,144.149237,1638.399612,3.902e-08,4.008e-07
5,60.0000,0.705828,1497.869873,2.913775e+00,1.405296e+02,144.149237,1638.399506,3.883e-08,4.652e-07
10,0.0000,144.149231,1638.400269,0.000000e+00,0.000000e+00,144.149231,1638.400269,0.000e+00,0.000e+00
10,2.9688,23.283085,1518.417969,8.841787e-01,1.199820e+02,144.149235,1638.399940,2.681e-08,2.005e-07
10,5.9375,10.621401,1505.990723,1.118435e+00,1.324094e+02,144.149237,1638.400124,4.120e-08,8.836e-08
10,9.0625,6.723961,1502.225708,1.250655e+00,1.361746e+02,144.149236,1638.400328,3.835e-08,3.640e-08
10,12.0312,5.044194,1500.632446,1.337384e+00,1.377677e+02,144.149237,1638.400104,3.898e-08,1.002e-07
10,15.0000,4.055958,1499.711670,1.404768e+00,1.386885e+02,144.149236,1638.400180,3.619e-08,5.404e-08
10,17.9688,3.388017,1499.098999,1.459998e+00,1.393012e+02,144.149236,1638.400219,3.617e-08,3.002e-08
10,20.9375,2.894276,1498.651611,1.506655e+00,1.397483e+02,144.149236,1638.399916,3.609e-08,2.150e-07
10,24.0625,2.488631,1498.288208,1.548747e+00,1.401119e+02,144.149236,1638.400066,3.638e-08,1.236e-07
10,27.0312,2.175113,1498.009277,1.583412e+00,1.403907e+02,144.149236,1638.399989,3.685e-08,1.709e-07
10,30.0000,1.911401,1497.776001,1.613791e+00,1.406240e+02,144.149236,1638.400045,3.685e-08,1.366e-07
10,32.9688,1.685387,1497.576538,1.640534e+00,1.408233e+02,144.149236,1638.399854,3.765e-08,2.531e-07
10,35.9375,1.489157,1497.403809,1.664139e+00,1.409959e+02,144.149236,1638.399749,3.676e-08,3.170e-07
10,39.0625,1.308804,1497.245239,1.686036e+00,1.411544e+02,144.149236,1638.399635,3.678e-08,3.866e-07
10,42.0312,1.158273,1497.113037,1.704383e+00,1.412866e+02,144.149236,1638.399618,3.688e-08,3.972e-07
10,45.0000,1.025017,1496.995850,1.720619e+00,1.414036e+02,144.149236,1638.399451,3.771e-08,4.993e-07
10,47.9688,0.906735,1496.891968,1.734985e+00,1.415075e+02,144.149236,1638.399484,3.681e-08,4.788e-07
10,50.9375,0.801570,1496.799316,1.747690e+00,1.416000e+02,144.149236,1638.399293,3.743e-08,5.954e-07
10,54.0625,0.703350,1496.712891,1.759470e+00,1.416864e+02,144.149236,1638.399307,3.646e-08,5.866e-07
10,57.0312,0.620539,1496.639893,1.769316e+00,1.417594e+02,144.149236,1638.399274,3.701e-08,6.071e-07
10,60.0000,0.546822,1496.574951,1.777998e+00,1.418244e+02,144.149236,1638.399368,3.689e-08,5.499e-07
