DH_nm2_s,time_s,P_space_center_mean,P_line_center_mean,contrast,area_frac,CD_pitch_frac,CD_initial_nm,CD_final_nm,CD_shift_nm,LER_initial_nm,LER_final_nm,LER_reduction_pct,passed,fail_reason,selection_reason
0.3,15.0,0.018033821736602174,0.5985849119850535,0.5805510902484513,0.41541666666666666,0.41307845035734087,12.458333333333332,9.913882808576181,-2.544450524757151,2.77190169436708,2.590458560854295,6.545799725924795,False,P_line_mean=0.60<=0.65,did not pass interior gate
0.3,20.0,0.0415772402864152,0.6944912455102701,0.6529140052238549,0.48772569444444447,0.4888422067695257,12.458333333333332,11.732212962468617,-0.7261203708647148,2.77190169436708,2.5880986070743477,6.630938163003679,True,,
0.3,30.0,0.11371997684366729,0.813832484011558,0.7001125071678908,0.57296875,0.5739305848770949,12.458333333333332,13.774334037050277,1.316000703716945,2.77190169436708,2.549148205994257,8.036125120363812,True,,
0.3,45.0,0.25489634682861917,0.9012535394666228,0.6463571926380036,0.6830034722222222,0.6834669558250642,12.458333333333332,16.403206939801542,3.94487360646821,2.77190169436708,2.578856382383381,6.964363576673589,True,,CD_shift=3.94>3.0
0.3,60.0,0.39928559645188816,0.9419880723378444,0.5427024758859562,0.8172916666666666,0.8152062526061027,12.458333333333332,19.564950062546465,7.106616729213133,2.77190169436708,3.169334172393725,-14.337899458494055,True,,CD_shift=7.11>3.0
0.5,15.0,0.04776552725303222,0.5875171124221943,0.5397515851691621,0.38321180555555556,0.38215910982883855,12.458333333333332,9.171818635892125,-3.2865146974412074,2.77190169436708,2.5223926130543313,9.00136833206562,False,P_line_mean=0.59<=0.65,did not pass interior gate
0.5,20.0,0.09395019358523451,0.6782959407479366,0.5843457471627022,0.4805034722222222,0.48042293035568484,12.458333333333332,11.530150328536436,-0.928183004796896,2.77190169436708,2.528105492821075,8.795268679312665,True,,
0.5,30.0,0.21006022518366654,0.7922139688794154,0.5821537436957489,0.5937152777777778,0.593619143298796,12.458333333333332,14.246859439171104,1.7885261058377715,2.77190169436708,2.531092523620566,8.687507613847714,True,,
0.5,45.0,0.3929443917830197,0.8794190298946881,0.4864746381116684,0.7751736111111112,0.7742659577070623,12.458333333333332,18.582382984969495,6.124049651636163,2.77190169436708,3.244192684442384,-17.038518755375424,True,,CD_shift=6.12>3.0
0.5,60.0,0.5478043562821535,0.9233611580294837,0.3755568017473302,0.9754340277777778,0.9586830416303801,12.458333333333332,23.00839299912912,10.55005966579579,2.77190169436708,1.5093097776822924,45.54966430629787,False,P_space_mean=0.55>=0.50; area_frac=0.975>=0.90; CD/pitch=0.959>=0.85,did not pass interior gate
0.8,15.0,0.09271459118506568,0.5684089476570845,0.4756943564720188,0.34319444444444447,0.34255243008000485,12.458333333333332,8.221258321920116,-4.237075011413216,2.77190169436708,2.4930753464309428,10.059027291723737,False,P_line_mean=0.57<=0.65,did not pass interior gate
0.8,20.0,0.16189607584530294,0.6533603181106774,0.49146424226537444,0.470625,0.4701166026547627,12.458333333333332,11.282798463714304,-1.1755348696190282,2.77190169436708,2.5055015996212453,9.610733861420831,True,,
0.8,30.0,0.31094981240247477,0.762589025547365,0.4516392131448902,0.6250173611111111,0.6253969097507742,12.458333333333332,15.00952583401858,2.5511925006852483,2.77190169436708,2.6540792961392965,4.2505980088405115,True,,
0.8,45.0,0.5077331886402127,0.8519189771618947,0.344185788521682,0.9390277777777778,0.9259025751728657,12.458333333333332,22.221661804148777,9.763328470815445,2.77190169436708,2.5425259254713466,8.275032601692166,False,P_space_mean=0.51>=0.50; area_frac=0.939>=0.90; CD/pitch=0.926>=0.85,did not pass interior gate
0.8,60.0,0.6514983080790867,0.9011437631573452,0.24964545507825853,1.0,0.9791666666666666,12.458333333333332,23.5,11.041666666666668,2.77190169436708,0.0,100.0,False,P_space_mean=0.65>=0.50; area_frac=1.000>=0.90; CD/pitch=0.979>=0.85,did not pass interior gate
1.0,15.0,0.1191348457490886,0.5559865411702525,0.43685169542116387,0.31678819444444445,0.31625344686747475,12.458333333333332,7.5900827248193945,-4.868250608513938,2.77190169436708,2.5328609713834593,8.623708534447209,False,P_line_mean=0.56<=0.65,did not pass interior gate
1.0,20.0,0.19812504173780515,0.6381288908777006,0.4400038491398955,0.4640972222222222,0.46374625866982083,12.458333333333332,11.1299102080757,-1.3284231252576326,2.77190169436708,2.526730119767765,8.84488707148382,False,P_line_mean=0.64<=0.65,did not pass interior gate
1.0,30.0,0.3573500074252729,0.745797789467736,0.3884477820424631,0.6495138888888888,0.6497744252772132,12.458333333333332,15.594586206653116,3.1362528733197834,2.77190169436708,2.826694733444758,-1.9767309637649035,True,,CD_shift=3.14>3.0
1.0,45.0,0.5525756017097067,0.8374322555966194,0.2848566538869127,0.98640625,0.9680203526206483,12.458333333333332,23.23248846289556,10.774155129562228,2.77190169436708,1.0360506422813924,62.62311017786804,False,P_space_mean=0.55>=0.50; area_frac=0.986>=0.90; CD/pitch=0.968>=0.85,did not pass interior gate
1.0,60.0,0.6876495093837441,0.8900588341559218,0.20240932477217766,1.0,0.9791666666666666,12.458333333333332,23.5,11.041666666666668,2.77190169436708,0.0,100.0,False,P_space_mean=0.69>=0.50; area_frac=1.000>=0.90; CD/pitch=0.979>=0.85,did not pass interior gate
1.5,15.0,0.1720231837491967,0.5284075701515206,0.35638438640232395,0.23666666666666666,0.24249805753674517,12.458333333333332,5.819953380881884,-6.638379952451448,2.77190169436708,2.8959625474172146,-4.4756584731069236,False,P_line_mean=0.53<=0.65,did not pass interior gate
1.5,20.0,0.26445377473186066,0.6062053982995645,0.3417516235677039,0.44786458333333334,0.44769379600184883,12.458333333333332,10.744651104044372,-1.7136822292889597,2.77190169436708,2.661680747881774,3.9763656376880756,False,P_line_mean=0.61<=0.65,did not pass interior gate
1.5,30.0,0.4316015239855076,0.713331857797226,0.28173033381171836,0.733125,0.7317385048971081,12.458333333333332,17.561724117530595,5.103390784197263,2.77190169436708,3.825638211821434,-38.01493103437631,True,,CD_shift=5.10>3.0
1.5,45.0,0.615553514626781,0.8116272166297466,0.1960737020029656,1.0,0.9791666666666666,12.458333333333332,23.5,11.041666666666668,2.77190169436708,0.0,100.0,False,P_space_mean=0.62>=0.50; area_frac=1.000>=0.90; CD/pitch=0.979>=0.85,did not pass interior gate
1.5,60.0,0.7348482319894548,0.8713033676246418,0.13645513563518696,1.0,0.9791666666666666,12.458333333333332,23.5,11.041666666666668,2.77190169436708,0.0,100.0,False,P_space_mean=0.73>=0.50; contrast=0.14<=0.15; area_frac=1.000>=0.90; CD/pitch=0.979>=0.85,did not pass interior gate
